日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260715,2798,Y’s,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594554.pdf"", ""特別利益(負ののれん発生益)の計上並びに2027年2月期第2四半期(中間期)及び通期連結業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/2798_1600_Y’s_特別利益(負ののれん発生益)の計上並びに2027年2月期第2四半期(中間期)及び通期連結業績予想の修正に関するお知らせ.pdf"", ""特別利益(負ののれん発生益)の計上並びに2027年2月期第2四半期(中間期)及び通期連結業績予想の修正に関するお知らせ"")",,,,,,,2,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594554.pdf
20260715,2884,ヨシムラ・F・HD,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715593756.pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/2884_1600_ヨシムラ・F・HD_2027年2月期 第1四半期決算短信〔日本基準〕(連結).pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(連結)"")",,,4,,,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715593756.pdf
20260715,2927,AFC-HD,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260603561920.pdf"", ""2026年8月期 第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/2927_1530_AFC-HD_2026年8月期 第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年8月期 第3四半期決算短信〔日本基準〕(連結)"")",,,,,,,7,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260603561920.pdf
20260715,2936,G-ベースフード,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715593969.pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕 (非連結)"")","=HYPERLINK(""pdf_tmp/20260715/2936_1530_G-ベースフード_2027年2月期 第1四半期決算短信〔日本基準〕 (非連結).pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕 (非連結)"")",,,,,,,,,,,4,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715593969.pdf
20260715,2936,G-ベースフード,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594053.pdf"", ""2027年度2月期 第1四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260715/2936_1530_G-ベースフード_2027年度2月期 第1四半期決算説明資料.pdf"", ""2027年度2月期 第1四半期決算説明資料"")",,,,,11,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594053.pdf
20260715,3077,ホリイフード,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594280.pdf"", ""2026年11月期通期連結業績予想の修正(上方修正)に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/3077_1400_ホリイフード_2026年11月期通期連結業績予想の修正(上方修正)に関するお知らせ.pdf"", ""2026年11月期通期連結業績予想の修正(上方修正)に関するお知らせ"")",,,,,,,1,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594280.pdf
20260715,3086,Jフロント,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594445.pdf"", ""2026年6月度 J.フロントリテイリング 連結売上収益報告(IFRS)"")","=HYPERLINK(""pdf_tmp/20260715/3086_1530_Jフロント_2026年6月度 J.フロントリテイリング 連結売上収益報告(IFRS).pdf"", ""2026年6月度 J.フロントリテイリング 連結売上収益報告(IFRS)"")",,,,,,,,,,,1 3,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594445.pdf
20260715,3133,G-海帆,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594354.pdf"", ""簡易株式交換によるスペーム株式会社の完全子会社化に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/3133_1530_G-海帆_簡易株式交換によるスペーム株式会社の完全子会社化に関するお知らせ.pdf"", ""簡易株式交換によるスペーム株式会社の完全子会社化に関するお知らせ"")",,,,,,,,,,,,,,,,,,,2 9,,,,,https://www.release.tdnet.info/inbs/140120260715594354.pdf
20260715,3174,ハピネス&D,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594020.pdf"", ""2026年8月期 第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/3174_1540_ハピネス&D_2026年8月期 第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年8月期 第3四半期決算短信〔日本基準〕(連結)"")",,,,,,,,,,,,,,,,,,,4,,,,,https://www.release.tdnet.info/inbs/140120260715594020.pdf
20260715,3201,ニッケ,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260615570502.pdf"", ""2026年11月期 第2四半期(中間期)決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/3201_1500_ニッケ_2026年11月期 第2四半期(中間期)決算短信〔日本基準〕(連結).pdf"", ""2026年11月期 第2四半期(中間期)決算短信〔日本基準〕(連結)"")",,,5,,,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260615570502.pdf
